channel,monthly_cost,monthly_reach,est_new_patients_monthly,best_segment,roi_score,notes,cost_per_patient,monthly_revenue_potential
Google Business Optimization,200,3500,8,All,9,High-intent searches; free with setup cost,25.0,2800
Nextdoor Advertising,300,2800,6,Caucasian Families,8,Hyper-local; neighbors trust recommendations,50.0,2100
Facebook/Instagram Ads,500,5000,9,Hispanic / Young Adults,8,Targeted by zip code; multilingual options,55.56,3150
Yelp Premium,400,2200,5,Young Adults / All,7,High conversion for comparison shoppers,80.0,1750
Vietnamese Community Media,350,4500,7,Vietnamese Families,9,"Little Saigon radio, newspapers, Zalo/WeChat",50.0,2450
School Partnerships (FVUSD),150,1800,4,Families w/ Children,8,Back-to-school dental checkup campaigns,37.5,1400
Senior Center Outreach,100,800,3,Seniors 65+,9,Low cost; high trust; Medicare/Medi-Cal referrals,33.33,1050
Referral Program,250,0,5,All,10,Incentivize current patients — highest conversion,50.0,1750
Community Events (Mile Square Park),400,3000,6,Vietnamese/Hispanic Families,7,Health fair booths; free screenings build trust,66.67,2100
Korean Language Outreach,200,1500,4,Korean Community,9,"KakaoTalk groups, Korean church bulletin boards",50.0,1400
